ID	Marmota himalayana	Marmota sibirica	Marmota caudata	Marmota baibacina
C1_38867	0	91	543	25
C1_38882	42	14	67	25
C1_38935	20	332	53012	1238
C1_39052	74	47	293	119
C1_39067	0	16	574	301
C1_39125	2	0	119	0
C1_39154	8	131	191	39
C1_39411	7	42	129	40
C1_39412	0	0	379	54
C1_39441	19	11	428	75
C1_39443	0	70	1377	26
C1_39455	0	0	251	155
C1_39644	69	557	1301	579
C1_39669	0	3	1095	3
C1_39702	60	21	81	2
C1_39789	38	91	3589	554
C1_39818	0	0	150	101
C1_39824	149	164	1153	180
C1_39834	0	0	199	12
C1_39900	4	35	352	362
C1_39905	0	0	605	12
C1_39911	223	283	716	74
C1_39926	0	0	298	12
C1_40031	160	0	294	2
C1_40036	102	66	1019	7
C1_40057	0	0	148	0
C1_40059	5	12	358	11
C1_40166	15	130	12531	482
C1_40249	0	0	10054	4
C1_40272	118	58	97	10
C1_40296	67	53	1418	10
C1_40300	0	0	205	15
C1_40320	7	5	242	10
C1_40323	28	33	4569	162
C1_40412	1	4	8232	64
C1_40456	2	10	194	187
C1_40467	149	105	618	440
C1_40534	10	2	106	0
C1_40609	54	32	1169	204
C1_40632	1698	4824	1154	105
C1_40665	4	24	105	0
